ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
289,7.22,0.215,54.5,0.436,3.81,22.14,78.43,Lempung,38.72,1.055,Subur
290,6.95,0.307,30.86,0.451,3.65,28.15,69.96,,33.41,1.131,Subur
291,5.25,0.036,5.29,0.221,0.53,10.25,48.7,Pasir,15.28,1.598,Tidak Subur
292,7.96,0.066,6.53,0.261,1.14,14.25,31.4,Pasir,70.87,1.435,Tidak Subur
293,4.4,0.098,8.31,0.175,1.66,15.15,22.74,Pasir,16.48,1.622,Tidak Subur
294,7.8,0.049,4.39,0.128,1.35,8.78,21.37,Debu,67.09,1.41,Tidak Subur
295,6.96,0.497,51.18,0.388,2.62,33.13,72.07,Lempung Berliat,25.19,0.938,Subur
296,6.61,0.363,27.36,0.542,4.17,26.97,88.94,Lempung,42.34,,Subur
297,6.99,0.389,47.53,0.652,3.28,35.06,90.35,Lempung,27.02,0.909,Subur
298,7.94,0.069,1.76,0.07,,15.34,31.62,Liat,73.44,1.504,Tidak Subur
299,7.77,0.162,3.26,0.083,1.08,9.19,11.42,Pasir,65.71,1.536,Tidak Subur
300,7.33,0.486,58.02,0.612,2.29,26.04,90.67,Lempung,44.72,1.153,Subur
301,7.47,0.323,54.99,0.719,2.91,29.06,97.68,Lempung,40.37,1.064,Subur
302,7.16,0.321,25.75,0.773,3.29,35.35,72.93,Lempung Berpasir,37.19,1.135,Subur
303,7.75,0.176,6.04,0.243,1.53,8.68,32.08,Pasir,62.09,1.569,Tidak Subur
304,5.28,0.089,2.86,0.27,1.24,14.69,37.63,Pasir,18,1.667,Tidak Subur
305,7.04,,17.25,0.5,2.2,36.31,74.2,Lempung,27.86,1.01,Subur
306,7.98,0.17,7.58,0.157,1.07,15.9,50.31,Debu,74.89,1.851,Tidak Subur
307,3.96,0.142,13.84,0.252,1.59,9.27,56.18,Pasir,6.24,1.628,Tidak Subur
308,3.86,0.19,13.61,0.186,0.34,13.21,39.13,Liat,7.4,1.898,Tidak Subur
309,7.37,0.449,41.27,0.38,3.71,25.3,90.65,Lempung Berpasir,42.87,1.103,Subur
310,6.91,0.221,23.91,0.399,4.01,27.57,84.93,Lempung Berpasir,32.07,1.004,Subur
311,3.81,0.161,4.18,0.135,0.87,13.95,39.17,Liat,13.61,1.799,Tidak Subur
312,8.32,0.159,9.44,0.229,1.7,9.32,26.46,Pasir,67.12,1.486,Tidak Subur
313,4,0.094,4.53,0.115,0.37,17.5,50.31,Pasir,8.42,,Tidak Subur
314,6.05,0.297,32.3,0.436,2.76,27.23,81.86,Lempung Berpasir,33.59,1.033,Subur
315,3.56,0.147,1.97,0.105,0.52,8.43,47.08,Liat,17.38,1.862,Tidak Subur
316,6.07,0.267,43.2,0.726,3.65,22.66,80.34,Lempung Berpasir,31.39,1.087,Subur
317,8.21,0.044,7.32,0.133,0.72,11.88,17.83,Liat,72.64,1.698,Tidak Subur
318,8.21,,1.77,,1.71,9.51,39.79,Debu,70.15,1.762,Tidak Subur
319,8.5,0.193,4.74,0.243,,6.59,43.41,Debu,67.4,1.498,Tidak Subur
320,8.1,0.064,2.58,0.176,1.65,7.74,46.48,Pasir,69.5,1.627,Tidak Subur
321,6.39,0.467,53.71,0.669,3.23,35.58,88.01,Lempung Berliat,34.02,1.037,Subur
322,8.24,0.021,,0.188,0.79,18.02,24.56,Pasir,69.49,1.628,Tidak Subur
323,6.06,0.212,,0.682,2.94,25.09,62.24,Lempung,33.72,0.981,Subur
324,6.96,0.367,28.21,0.461,3.76,42.33,91.12,Lempung Berliat,29.3,,Subur
325,7.2,0.432,23.07,0.342,4.93,20.33,97.88,Lempung Berpasir,30.04,1.035,Subur
326,6.61,0.271,57.98,0.612,3.69,37.76,88.52,Lempung,38.59,1.148,Subur
327,8.65,0.066,6.57,0.184,1.07,5.2,30.83,Pasir,60.01,1.432,Tidak Subur
328,6.55,0.442,27.43,0.443,2.55,42.27,81.47,Lempung Berpasir,30,1.048,Subur
329,7.79,0.184,,0.054,,19,12.41,Debu,,1.798,Tidak Subur
330,6.8,0.351,55.06,0.471,4.33,30.75,82.89,Lempung Berliat,31.55,1.198,Subur
331,7.06,0.269,39.36,0.764,4.98,20.76,65.05,Lempung,,0.9,Subur
332,6.74,0.382,37.64,0.481,4.35,40.66,89.58,Lempung,,0.943,Subur
333,8.64,0.145,6.53,0.112,1.83,11.49,45.26,Debu,59.65,1.51,Tidak Subur
334,6.41,,58.09,0.68,4.74,22.04,93.41,Lempung Berpasir,40.63,0.928,Subur
335,6.26,0.462,18.61,,4.46,22.28,86.04,Lempung Berpasir,28.6,1.153,Subur
336,8.69,0.128,,0.268,0.31,8.6,34.52,Liat,64.08,,Tidak Subur
337,7.36,0.474,,0.435,3.33,29.27,66.57,Lempung Berpasir,,1.142,Subur
338,6.99,0.482,57.22,0.568,,43.53,92.11,Lempung Berliat,27.99,1.116,Subur
339,3.69,0.186,,0.129,0.8,14.39,55.92,Pasir,11.36,1.538,Tidak Subur
340,7.82,0.086,9.54,,0.95,17.73,43.41,Pasir,70.44,1.892,Tidak Subur
341,5.1,0.079,11.82,0.241,1.51,12.91,43.48,Pasir,10.91,1.629,Tidak Subur
342,6.08,,51.12,0.517,2.24,39.59,91.32,Lempung,40.77,0.98,Subur
343,8.52,0.089,12.02,0.251,0.55,8.1,27.44,Pasir,64.61,1.431,Tidak Subur
344,6.21,0.379,20.33,0.712,3.94,40.4,80.46,Lempung,39.41,0.949,Subur
345,7.01,0.284,42.61,0.471,,40.7,70.74,Lempung Berliat,38.18,1.041,Subur
346,7.87,0.083,,0.095,0.47,9.78,29.75,Pasir,61.68,1.502,Tidak Subur
347,6.75,0.461,43.62,0.407,,38.33,60.29,Lempung,,0.934,Subur
348,7.89,0.025,7.94,0.067,1.15,17.44,18.03,Liat,64.99,1.519,Tidak Subur
349,7.77,0.018,,0.169,1.79,9.09,53.11,Pasir,65.92,1.674,Tidak Subur
350,6.74,0.463,46.67,0.325,,33.44,90.85,Lempung Berpasir,37.88,1.185,Subur
351,6.26,0.367,52.67,0.393,4.99,40.42,81.08,Lempung,30.76,,Subur
352,6.68,,57.48,0.439,3.66,31.16,84.9,Lempung,43.56,1.084,Subur
353,3.95,0.024,3.78,0.059,1.24,17.36,44.7,Pasir,19.25,,Tidak Subur
354,8.35,0.182,,0.184,0.86,12.89,26.96,Pasir,73.46,1.426,Tidak Subur
355,6.17,0.445,33.8,0.529,4.7,32.14,99.98,Lempung Berliat,38.1,1.169,Subur
356,6.06,0.469,21.02,0.631,2.81,37.88,83.26,Lempung,38.11,1.02,Subur
357,7.84,0.099,,0.26,,7.2,26.46,Debu,57.3,1.703,Tidak Subur
358,8.41,0.041,4.23,,0.94,15.91,35.69,Pasir,73,1.748,Tidak Subur
359,5.05,0.053,7.85,0.202,,16.62,35.93,Debu,14.94,1.543,Tidak Subur
360,4.44,0.198,10.28,0.254,0.94,14.43,43.5,Pasir,6.69,1.789,Tidak Subur
361,7.35,0.316,59.14,0.596,4.23,44.68,79.65,Lempung Berpasir,40.32,1.087,Subur
362,7.14,0.419,,0.671,2.4,27.91,88.69,,37.39,1.13,Subur
363,6.69,0.229,57.81,0.359,3.48,44.98,94.02,Lempung,26.76,1.051,Subur
364,6.51,0.223,19.99,0.477,3.86,25.12,87.68,Lempung Berliat,32.56,1.151,Subur
365,6.36,0.254,49.25,0.32,3.99,41.01,83.49,Lempung Berpasir,34.14,0.906,Subur
366,7.45,0.424,58.38,0.69,4.97,27.82,92.96,Lempung,30.64,1.107,Subur
367,8.67,0.088,8.16,0.079,0.72,16.97,54.89,Liat,71.22,1.402,Tidak Subur
368,6.99,0.463,42.36,0.683,4.02,30.12,81.83,Lempung,29.12,1.085,Subur
369,4.86,0.169,11.47,0.289,0.46,16.45,44.8,Pasir,16.53,1.489,Tidak Subur
370,7.05,0.324,41.63,0.537,3.94,27.27,99.26,Lempung,38.14,0.989,Subur
371,8.67,0.101,3.83,0.263,0.68,15.42,36.76,Debu,67.32,1.497,Tidak Subur
372,8.92,0.199,1.69,0.164,0.44,11.32,48.79,Pasir,63.45,1.699,Tidak Subur
373,7.2,0.242,26.64,0.783,4.94,28.41,73.36,Lempung,31.67,1.052,Subur
374,8.28,0.132,,0.249,,15.51,36.73,Liat,60.54,1.746,Tidak Subur
375,8.17,0.074,6.04,0.271,1.59,14.92,42,Pasir,62.32,1.482,Tidak Subur
376,7.92,0.092,12.73,0.183,1.61,7.99,34.98,Pasir,62.47,1.493,Tidak Subur
377,6.94,0.447,27.41,0.377,2.48,40.29,83.7,Lempung,25.06,0.934,Subur
378,7.86,0.164,5.85,0.129,1.08,14.31,30.94,Liat,,1.506,Tidak Subur
379,7.88,0.049,13.95,0.189,1.46,16.06,56.14,,75,1.755,Tidak Subur
380,4.82,0.066,11.83,0.141,0.75,17.07,29.35,Liat,11.38,1.657,Tidak Subur
381,4.46,0.055,3.24,0.284,1.85,7.37,12.12,Pasir,6.92,1.568,Tidak Subur
382,6.36,0.282,,,,42.92,74.33,,,1.141,Subur
383,6.14,,49.03,0.681,3.8,44.37,62.33,Lempung,29.56,1.075,Subur
384,7.62,0.017,5.38,0.283,0.49,17.76,40.1,Liat,59.33,1.501,Tidak Subur
385,5.39,0.174,5.01,0.095,1.83,10.02,30.02,Liat,11.75,1.533,Tidak Subur
386,6.05,,21.04,0.546,3.62,41.87,91.71,Lempung Berpasir,28.29,1.165,Subur
387,6.23,0.479,47.52,0.405,2.07,36.1,66.23,Lempung,41.92,1.019,Subur
388,3.66,0.129,1.64,0.274,1.73,18.71,45.06,Debu,16.26,1.443,Tidak Subur
389,6.12,0.304,48.34,0.699,2.33,26.12,61.45,Lempung,27.12,0.931,Subur
390,8.65,0.195,3.49,0.27,1.09,6.22,46.76,Liat,55.89,1.795,Tidak Subur
391,8.88,,2.77,0.135,1.7,8.54,13.6,,56.99,1.538,Tidak Subur
392,8.22,0.081,8.01,0.098,0.57,8.43,20.56,Pasir,66.98,1.835,Tidak Subur
393,7.36,0.375,30.63,0.487,4.41,30.28,72.81,Lempung Berpasir,33.83,0.957,Subur
394,6.25,0.299,,0.375,,40.54,78.39,Lempung Berpasir,28.52,0.942,Subur
395,7.15,0.33,48.2,0.416,3.67,24.08,63.02,Lempung Berliat,35.83,1.026,Subur
396,6.53,0.38,,0.694,2.65,42.44,65.06,Lempung,,1.07,Subur
397,3.71,,4.79,0.184,0.96,12.51,18.86,Pasir,17.85,1.757,Tidak Subur
398,7.87,0.066,10.73,0.259,0.81,10.99,36.34,Pasir,62.76,1.589,Tidak Subur
399,7.49,0.441,42.09,0.554,4.65,40.66,94.06,Lempung,28.67,1.052,Subur
400,7.42,0.245,,0.365,,22.61,70.01,Lempung Berpasir,31.48,1.032,Subur
401,6.85,0.307,57.62,0.594,4.87,43.41,86.42,Lempung,36.43,1.125,Subur
402,7.41,0.462,50.76,,,44.48,96.79,Lempung Berliat,39.2,1,Subur
403,6.5,0.321,31.07,,2.6,32.42,88.39,Lempung Berpasir,31.85,1.006,Subur
404,6.76,0.326,,0.688,,37.09,87.08,Lempung,30.28,1.018,Subur
405,7.19,0.302,22.2,0.682,2.3,24.81,99.53,Lempung,36.44,1.177,Subur
406,4.66,0.084,4.76,0.051,0.97,6.4,51.01,Debu,11.76,1.718,Tidak Subur
407,7.96,0.188,5.76,0.146,1.36,15.43,44.47,Liat,62.73,1.622,Tidak Subur
408,6.58,,16.97,0.618,4,44.76,83.29,Lempung,40.27,1.052,Subur
409,5.23,0.182,12.11,0.279,,6.17,15.41,Liat,15.73,1.693,Tidak Subur
410,4.54,0.054,2.34,0.106,1.57,18.92,34.55,Pasir,,1.742,Tidak Subur
411,6.19,0.334,25.89,0.363,4.02,43.21,67.64,Lempung Berpasir,35.26,1.007,Subur
412,6.59,0.34,,0.631,3.54,35.72,97.75,Lempung Berliat,32.82,,Subur
413,8.17,0.031,9.07,0.166,,9.1,55.18,Debu,,1.888,Tidak Subur
414,6.83,0.307,42.07,0.749,3.3,25.86,94.69,Lempung Berpasir,32.8,0.916,Subur
415,6.3,0.278,38.37,0.605,4.03,38.52,72.2,Lempung,33.3,1.126,Subur
416,4.62,0.12,3.82,0.262,1.24,8.99,19.76,Liat,,1.546,Tidak Subur
417,6.15,,34.56,0.748,3.2,41.94,68.62,Lempung,40.87,0.939,Subur
418,7.16,0.363,,0.542,4.07,40.13,98.01,Lempung Berpasir,28.51,,Subur
419,7.33,0.427,39.6,0.351,3.33,29.68,68.37,Lempung Berliat,36.54,1.104,Subur
420,8.6,,6.91,0.228,0.35,9.78,53.03,,74.78,1.847,Tidak Subur
421,6.13,0.22,24.4,0.685,,38.54,63.55,Lempung,28.94,0.986,Subur
422,6.02,0.276,42.17,0.385,3.32,22.17,81.52,Lempung Berliat,41.06,1.032,Subur
423,4.7,0.122,,0.121,1.63,9.47,51.33,Liat,6.92,1.444,Tidak Subur
424,6.52,0.24,38.41,0.59,2.94,44.31,94.18,Lempung Berliat,43.14,1.019,Subur
425,4.53,0.042,13.23,0.129,1.62,16.56,25.16,Debu,19.35,1.794,Tidak Subur
426,8.09,0.044,8.26,0.265,1.84,11.92,36.5,Debu,65.24,1.873,Tidak Subur
427,4.85,0.19,9.89,0.17,1.52,7.4,19.49,Liat,19.02,1.591,Tidak Subur
428,3.57,0.05,10.4,0.176,1.22,15.42,21.27,Liat,6.28,1.592,Tidak Subur
429,3.56,0.132,6.57,0.285,0.86,8.61,33.16,Liat,10.13,1.763,Tidak Subur
430,4.29,0.094,11.19,0.168,0.9,14.02,19.68,Liat,13.97,1.407,Tidak Subur
431,6.66,0.211,20.23,0.582,2.71,44.58,97.9,Lempung,27.34,0.986,Subur
432,8.03,0.033,12.46,0.072,,17.88,49.96,Liat,68.63,1.773,Tidak Subur
433,4.79,0.149,7.11,0.05,0.31,14.68,51.4,Debu,11.92,1.815,Tidak Subur
434,6.21,,52.01,,3.73,27.79,78.16,Lempung,,1.053,Subur
435,8.58,0.191,12.61,0.146,1.62,11.78,19.9,Debu,71.28,1.839,Tidak Subur
436,8.91,0.095,1.81,0.194,1.13,11.54,21.97,Liat,67.88,1.41,Tidak Subur
437,4.69,,4.56,0.197,0.94,17.76,54.47,,11.15,1.589,Tidak Subur
438,6.74,0.233,58.52,0.765,2.46,20.35,72.13,Lempung Berpasir,38.93,1.067,Subur
439,7.13,0.389,44.06,,,29.86,77.62,Lempung Berpasir,42.17,,Subur
440,8.38,0.124,13.86,0.277,1.49,15.89,31.58,Liat,64.24,1.535,Tidak Subur
441,6.11,0.299,32.35,0.414,3.05,25.27,82.11,Lempung,,1.118,Subur
442,7.35,0.31,45.18,0.776,3.5,39.13,91.31,Lempung Berpasir,31.7,1.18,Subur
443,4.19,,13.41,0.28,0.8,5.85,42.4,Liat,5.15,1.787,Tidak Subur
444,7.31,0.307,29.23,0.484,,30.53,64.07,Lempung,29.66,,Subur
445,3.76,0.16,2.75,0.157,0.32,10.7,25.5,Pasir,,1.557,Tidak Subur
446,6.22,0.217,59.05,0.398,3.23,36.25,96.8,Lempung Berpasir,38.55,1.115,Subur
447,7.03,0.421,17.33,0.348,4.18,34.17,77.18,Lempung Berpasir,32.52,0.997,Subur
448,4.72,0.196,12.52,0.12,0.24,13.34,49.49,Liat,,1.564,Tidak Subur
449,6.48,0.396,20.41,0.67,4.36,42.4,97.2,Lempung Berpasir,39.88,0.901,Subur
450,5.16,0.18,7.94,0.059,0.46,16.2,10.99,Debu,16.49,1.475,Tidak Subur
451,6.38,0.311,39.34,0.76,2.4,23.15,74.47,Lempung,39.07,0.96,Subur
452,4.22,0.185,,0.289,0.76,17.98,38.59,Pasir,12.56,1.848,Tidak Subur
453,7.1,0.463,55.78,0.425,,41.36,94.9,Lempung Berliat,26.92,1.117,Subur
454,4.88,0.086,1.95,0.286,1.88,18.14,27.62,Liat,15.07,1.896,Tidak Subur
455,8.12,0.13,9.65,,0.91,9.78,42.68,Liat,63.75,1.71,Tidak Subur
456,8.46,0.022,13.23,0.253,0.83,16.28,30.73,Debu,63.78,1.542,Tidak Subur
457,6.15,0.219,33.85,,2.65,20.15,71.45,Lempung Berpasir,40.7,1.038,Subur
458,8.44,0.014,5.67,,0.31,8.51,37.65,Debu,71.87,1.583,Tidak Subur
459,8.06,0.182,9.6,0.14,,8.98,41.05,Pasir,,1.641,Tidak Subur
460,6.94,0.212,21.7,0.761,3.71,38.18,60.4,Lempung,43.64,,Subur
461,7.11,0.231,,0.335,3.33,32.82,80.04,Lempung,25.28,0.913,Subur
462,7.27,0.339,28.78,0.68,,34.41,89.65,Lempung Berpasir,28.42,1.109,Subur
463,6.45,0.423,25.14,0.709,,34.24,64.53,Lempung,33.38,0.91,Subur
464,4.13,0.058,12.02,0.093,1.51,11.56,58.51,Pasir,16.19,1.439,Tidak Subur
465,6.12,0.405,21.94,0.765,2.72,41.1,81.18,Lempung,,1.115,Subur
466,7.22,0.459,32.3,0.305,4.86,23.23,97.13,Lempung Berliat,27.16,1.057,Subur
467,6.39,0.24,44.39,0.558,2.4,38.79,60.88,Lempung,30.78,1.111,Subur
468,6.86,0.232,,0.509,4.44,27.03,72.4,Lempung,31.27,1.125,Subur
469,6.02,0.431,53.51,0.651,,37.93,90.28,Lempung,31.66,1.048,Subur
470,7.25,0.373,44.75,,,28.27,63.74,Lempung Berpasir,29.55,0.931,Subur
471,7.42,0.261,28.6,0.625,4.93,24.98,81.57,Lempung Berpasir,38.78,,Subur
472,7,0.29,27.21,0.415,4.24,28.88,64.7,,35.59,1.049,Subur
473,6.6,0.433,15.54,0.712,4.46,34.52,97.3,Lempung Berliat,,1.038,Subur
474,5.36,0.117,13.09,0.091,0.49,10.07,55.46,Liat,14.44,1.422,Tidak Subur
475,8.83,0.069,4.83,0.14,,9.27,40.29,Liat,74.32,1.748,Tidak Subur
476,6.07,0.325,36.75,0.477,2.08,25.63,98.02,Lempung,26.83,0.902,Subur
477,7.23,0.31,27.04,0.675,2.81,25.88,86.22,Lempung Berliat,25.18,1.052,Subur
478,6.67,0.482,58.38,0.583,3.47,29.66,76.99,Lempung Berpasir,25.96,0.921,Subur
479,7.37,0.221,,0.568,,39.5,81.98,Lempung,36.78,1.014,Subur
480,5.12,0.051,9.84,,1.89,15.86,37.8,Pasir,,,Tidak Subur
481,8.33,0.018,2.44,0.162,1.57,6.02,36.95,Liat,67.85,1.739,Tidak Subur
482,5.05,0.197,4.91,0.151,0.83,7.72,13.67,Pasir,18.07,1.682,Tidak Subur
483,6.44,0.441,,0.566,3.13,29.65,78.55,Lempung Berliat,43.43,0.913,Subur
484,6.86,0.227,16.24,0.48,3.93,21.29,75.84,Lempung Berliat,34.04,0.933,Subur
485,3.87,0.101,3.67,0.124,1.62,14.18,20.07,Debu,16.43,1.841,Tidak Subur
486,3.95,0.037,13.46,0.273,,18.04,17.32,Debu,15.91,1.48,Tidak Subur
487,7.39,0.499,28.49,0.456,2.96,27.54,76.6,Lempung Berliat,41.9,1.05,Subur
488,6.66,0.233,37.83,0.661,2.83,28.4,74.47,Lempung Berliat,34.54,0.979,Subur
489,6.4,0.381,51.3,0.602,3.4,39.42,76.12,Lempung Berliat,,1.034,Subur
490,7.05,0.323,53.59,0.516,2.21,32.61,81.2,Lempung,28.41,0.99,Subur
491,8.59,0.06,11.13,0.153,0.45,8.27,54.51,Liat,72.62,1.846,Tidak Subur
492,6.82,0.49,55.5,0.61,3.18,34.41,66.28,Lempung,,1.133,Subur
493,8.87,0.167,13.46,0.147,1.52,11.43,35.53,Liat,72.77,1.53,Tidak Subur
494,7.49,0.418,28.26,0.463,2.74,37.29,97.05,Lempung,,1.009,Subur
495,6.94,,26.7,0.457,4.03,22.68,72.17,Lempung,30.03,1.048,Subur
496,6.85,0.304,58.11,0.45,4.98,38.44,96.23,Lempung Berpasir,41.08,0.964,Subur
497,4.99,0.031,,0.059,1.87,13.37,12.84,Pasir,7.17,,Tidak Subur
498,7.36,0.38,59.46,0.421,3.15,28.02,80.48,Lempung,35.19,0.96,Subur
499,8.15,0.015,12.82,0.167,1.11,17.2,38.06,Liat,70.48,1.773,Tidak Subur
500,6.17,0.317,,0.473,3.32,38.87,82.48,Lempung Berliat,35.38,1.028,Subur
501,7.91,,13,0.089,1.68,9.76,50.82,Pasir,73.33,1.756,Tidak Subur
502,6.78,0.223,33.32,0.451,4.01,26.44,65.78,Lempung Berliat,32.76,1.041,Subur
503,6.03,0.288,,0.509,4.73,37.12,72.69,Lempung Berpasir,,,Subur
504,5.2,0.087,4.39,0.092,0.72,17.57,10.86,Pasir,15.98,1.625,Tidak Subur
505,8.82,,,0.214,1.27,14.6,58.93,Liat,,,Tidak Subur
506,7.63,0.102,4.71,0.257,1.49,17.29,35.24,Debu,63.95,1.484,Tidak Subur
507,4.82,0.084,12.09,0.052,1.16,7.96,48.71,Debu,19.86,1.462,Tidak Subur
508,7.39,0.393,16.49,0.455,4.05,23.34,64.65,Lempung Berpasir,26.38,0.934,Subur
509,8.47,0.027,4.67,0.086,1.03,11.1,45.73,Liat,68.58,1.446,Tidak Subur
510,4.55,0.058,5.9,0.179,0.38,11.18,36.56,Liat,15.06,1.721,Tidak Subur
511,7.02,0.389,45.88,0.628,2.53,30.64,62.11,,41.32,0.981,Subur
512,7.23,0.375,24.31,0.495,3.7,20.98,98.07,Lempung,,1.061,Subur
513,6.32,0.279,46.82,0.711,2.86,44.94,72.94,Lempung Berpasir,42.95,0.922,Subur
514,3.98,0.091,3.94,0.055,0.53,17.13,43.07,Debu,8.38,1.439,Tidak Subur
515,8.23,0.163,9.1,0.174,0.24,7.35,14.48,Pasir,57.1,1.469,Tidak Subur
516,8.76,0.12,3.34,0.108,1.12,8.32,11.02,Pasir,60.21,1.641,Tidak Subur
517,6.89,0.397,31.14,0.334,,32.65,62.87,Lempung,25.9,1.051,Subur
518,7.3,0.436,36.95,0.662,2.45,27.45,62.63,Lempung Berpasir,26.39,1.099,Subur
519,7.82,0.191,,0.074,1.31,16.32,14.48,Liat,56,,Tidak Subur
520,4.75,0.162,12.4,,1.18,13.53,46.77,Liat,17.14,1.564,Tidak Subur
521,8.34,0.197,3.43,0.207,0.93,14.33,54.54,Debu,74.9,1.627,Tidak Subur
522,6.03,0.262,53.05,,3.16,28.67,73.53,Lempung Berpasir,33.74,0.958,Subur
523,7.74,0.014,2.34,0.257,0.86,5.78,27.08,Liat,74.33,,Tidak Subur
524,6.27,0.245,50.24,0.717,2.16,30.57,63.02,Lempung Berliat,40.07,1.039,Subur
525,6.78,0.334,58.1,0.551,4.79,33.43,73.78,Lempung Berliat,34.08,1.135,Subur
526,7.08,0.337,22.46,0.583,2.92,23.65,78.14,Lempung Berliat,,1.199,Subur
527,7.48,0.281,45.95,0.336,2.59,22.85,99.23,Lempung Berpasir,34.15,1.059,Subur
528,6.07,0.493,20.15,0.745,3.14,44.16,69.72,Lempung,40.72,1.016,Subur
529,6.62,0.28,31.07,0.628,3.18,25.91,67.74,Lempung Berpasir,39.65,1.022,Subur
530,3.98,0.146,11.12,0.156,1.65,12.24,30.18,Liat,,1.604,Tidak Subur
531,5.22,0.134,9.45,0.29,1.34,6.18,40.61,Pasir,17.35,1.885,Tidak Subur
532,7.64,0.196,13.21,0.084,1.11,10.93,45.62,Liat,55.93,1.767,Tidak Subur
533,6.28,0.478,33.5,0.467,2.78,25.29,90.14,,40.44,0.922,Subur
534,7.21,0.273,26.95,0.439,2.59,22.59,81.8,Lempung Berpasir,35.06,1.035,Subur
535,6.31,0.371,,0.516,2.02,35.79,69.19,Lempung Berpasir,32.3,0.907,Subur
536,8.4,0.062,10.46,0.098,1.46,7.23,42.15,Debu,55.01,1.621,Tidak Subur
537,8.02,0.027,2.43,0.274,1.1,17.3,53.9,Liat,57.74,1.823,Tidak Subur
538,6.87,0.22,33.75,0.426,2.92,29.4,85.73,Lempung Berliat,40.11,1.068,Subur
539,6.56,,24.06,0.653,3.19,32.65,62.21,Lempung,30.05,1.186,Subur
540,8.63,0.184,1.46,0.13,0.55,16.69,54.28,Pasir,69.26,,Tidak Subur
541,7.17,0.248,32.12,0.496,3.85,27.07,62.9,Lempung Berliat,26.32,1.071,Subur
542,5,0.158,,0.201,0.98,16.14,55.89,Liat,13.58,1.877,Tidak Subur
543,4.41,0.076,7.63,0.191,1.64,15.41,47.33,Pasir,15.01,1.898,Tidak Subur
544,3.94,0.065,,0.094,0.91,18.79,55.58,Pasir,11.48,1.719,Tidak Subur
545,4.98,0.048,12.71,0.233,0.26,7.81,56.5,Pasir,14.73,1.767,Tidak Subur
546,7.43,0.227,28.05,0.565,4.45,32.13,73.82,Lempung Berliat,27.16,1.019,Subur
547,7.19,0.499,25.27,0.346,4.53,22.44,63.59,,29.29,0.961,Subur
548,8.58,0.031,8.95,0.245,,6.35,53.83,Debu,,1.863,Tidak Subur
549,7.92,0.012,12.57,0.105,0.32,8.45,11.86,Liat,,1.792,Tidak Subur
550,7.68,0.135,8.16,0.109,0.2,17.15,35.84,Pasir,60.57,1.598,Tidak Subur
551,6.66,0.238,,0.634,2.66,38.13,82.4,Lempung,43,1.167,Subur
552,7.36,0.392,,0.502,3.86,36.67,66.43,Lempung,39.1,0.977,Subur
553,6.77,0.349,57.77,0.718,3.81,31.79,83.63,Lempung,35.41,1.116,Subur
554,4.62,0.143,3.3,,1.16,9.25,34.19,Liat,5.53,1.731,Tidak Subur
555,6.95,0.491,38.99,0.674,3.28,34.44,88.91,Lempung,,1.138,Subur
556,4.13,0.126,13.7,,1.4,13.68,11.87,Liat,13.85,1.493,Tidak Subur
557,7.92,0.174,2.1,0.23,0.36,5.99,28.34,Pasir,70.98,1.539,Tidak Subur
558,8.11,0.157,5.85,0.215,1.58,11.33,38.1,Pasir,60.55,,Tidak Subur
559,7.13,0.43,55.78,0.305,2.15,22.49,63.28,Lempung,34.9,1.143,Subur
560,8.82,0.017,2.76,0.152,0.85,14.84,25.87,Liat,73.26,1.544,Tidak Subur
561,6.12,0.344,53.95,0.743,2.4,42.23,61.03,Lempung Berliat,36.11,1.028,Subur
562,8.57,,,0.077,0.64,14.2,48.76,Liat,72.31,1.845,Tidak Subur
563,7.01,0.463,,0.666,3.41,35.67,68.24,Lempung,33.86,1.07,Subur
564,6.93,0.488,36.15,0.392,2.03,35.77,93.47,Lempung,,0.973,Subur
565,7.12,0.422,29.1,0.388,4.58,24.81,89.02,Lempung,28.22,0.957,Subur
566,4,0.16,10.87,0.143,1.16,5.98,33.13,Liat,6.68,1.577,Tidak Subur
567,7.87,0.045,10.33,0.094,1.8,5.44,32.21,Debu,70.22,1.524,Tidak Subur
568,6.17,0.239,,0.326,4.58,30.4,72.66,Lempung,27.46,1.06,Subur
569,4.05,0.058,12.06,0.157,0.9,11.61,49.68,Pasir,15.52,1.683,Tidak Subur
570,6.01,0.222,24.22,0.456,3.78,32.13,66.75,Lempung Berpasir,39.65,1.027,Subur
571,5.07,0.012,6.43,0.106,1.33,11.29,32.73,Debu,12.13,1.718,Tidak Subur
572,4.32,0.027,,0.128,,13.52,46,Debu,11.22,1.896,Tidak Subur
573,3.82,0.041,5.45,0.15,0.72,12.35,41.7,Pasir,,1.744,Tidak Subur
574,3.54,0.182,6.52,0.288,1.46,14.51,22.04,Pasir,,1.526,Tidak Subur
575,7.04,,,0.586,,27.35,79.3,Lempung,29.96,0.987,Subur
576,4.46,0.107,12.22,0.27,1.56,6.97,14.55,Liat,14.75,1.605,Tidak Subur
577,7.37,0.378,53.43,,4.2,32.6,90.86,Lempung,25.01,,Subur
578,4.13,0.176,12.68,0.216,,13.09,55.67,Liat,7.5,1.469,Tidak Subur
